Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM1380099,0.129749746844041,0,0.108429364926189,0.123412209612868,0,0,0,0,0.0316315843365348,0,0.00166009756083934,0.0356068632689937,0.206208491826886,0,0.0141816478269882,0.257209901515869,0,0,0.0919100922807906,0,0,0,0.805,-0.00591036617903587,1.08887139606224
GSM1380100,0.196067903813912,0,0.0845612550524077,0.120914853652835,0,0.0374825662704011,0,0,0.0924332079176936,0,0,0.0595579347615394,0.189283787929393,0.0448870181755783,0,0.0823475179214524,0,0.00198276898571473,0.0904811855190733,0,0,0,0.941,-0.0281560888851259,1.1031114420231
GSM1380101,0.0535124406453741,0,0.129952219678277,0.0942821238106295,0,0.0848196673213887,0,0.0839593002680393,0.0220017093618056,0,0.0497129146166069,0.141778993045791,0.0904936995805848,0.105198753505149,0,0,0,0.0671782246953097,0.0419881500725867,0,0.0351218033984579,0,0.953,-0.0327793820597599,1.11349633321636
GSM1380102,0.136305710746089,0,0.0483892410761523,0.128480801247292,0,0.0460593397289662,0,0,0.0989784225737314,0,0.0577042746169433,0.0529182919451161,0.0972879729779031,0.00338638517136592,0.00353502474579758,0.110940596830558,0,0,0.216013938340085,0,0,0,0.928,-0.0257928316690129,1.09702309977695
GSM1380103,0.226797481454199,0,0.126260251022338,0.094347816139068,0.013203752946223,0.0362015802051689,0,0,0.0218274440683003,0,0,0.0840262740621966,0.155700164763428,0.00356890781244434,0,0.137718608368476,0,0,0.100347719158158,0,0,0,0.696,0.00745280352911803,1.10314718602089
GSM1380104,0,0,0.0784868198128653,0.104637344840086,0,0.299626744384832,0,0,0.0312012983759981,0,0.0233956961887698,0.112302525737838,0.0947685613111906,0.0385471746953694,0,0.0992910375976674,0,0.0255034201380159,0.0922393769173672,0,0,0,0.983,-0.0430826156707783,1.11152813253013
GSM1380105,0.171297345286441,0,0.132338578753975,0.120382334552024,0,0.0502577436403361,0,0,0.0992334161167705,0,0.0247183752554817,0.0665260409811321,0.137867046061838,0,0.0154159673753782,0.127577097993109,0,0,0.0543860539835136,0,0,0,0.955,-0.0337005921650127,1.11365334723082
GSM1380106,0.11683465267916,0,0.0939144821359526,0.12046760215546,0,0.0161203454091554,0,0,0.0659845422337342,0,0.0158922203219988,0.100031448233387,0.0772697956961243,0,0.019025182607853,0.281268145106499,0,0,0.0931915834206758,0,0,0,0.977,-0.0415051116059273,1.10223326960189
GSM1380107,0,0,0.106973287711635,0.0523803085438765,0,0.230730858016515,0,0,0,0,0.0232966174255568,0.128808818919108,0.140807559705527,0,0,0.139247879974917,0,0,0.177754669702864,0,0,0,0.894,-0.0186603222911513,1.09431335233336
GSM1380108,0.0680825110005721,0,0.0900070927532076,0.130543103725641,0,0.167588238486341,0,0,0,0,0.0680228359500745,0.100489658815784,0.221274890497178,0.0356082391233001,0.0173042934492485,0.0178761852510988,0,0,0.0692618118827623,0,0.0139411390647923,0,0.885,-0.0168525566688541,1.10433902193142
GSM1380109,0.137540258750782,0,0.100434827398409,0.0739558195234318,0,0.131215059081571,0,0,0.112825143828427,0,0.0192105322915256,0.119765854330761,0.126641209739454,0.0114141232983877,0,0.0874184128942947,0,0.0218744201794571,0.057704338683499,0,0,0,0.945,-0.0291875827409207,1.10978982294731
GSM1380110,0.160737660557923,0,0.100193978502606,0.151533110970041,0,0.0444784554400387,0,0,0.0468690656677366,0,0.00130978508899881,0.0670054760307447,0.0870049428201254,0,0.00918167218398483,0.187922545167045,0,0.0403169819143468,0.103446325656408,0,0,0,0.955,-0.0336828475170915,1.09827492223318
GSM1380111,0.216852941744456,0,0.0735963938193335,0.14761689893348,0.0268962715360436,0,0,0,0.0362981053684953,0,0.0300238844520518,0.0180246373982002,0.250572843371154,0.0760783180331635,0,0.036922245994886,0,0.0160424273878397,0.071075031960897,0,0,0,0.926,-0.025308339621865,1.10591049048753
GSM1380112,0.158219900895339,0,0.0700019651543826,0.0706434822273054,0,0,0,0,0.0396322195516485,0,0.0547465728469915,0.0250529684280173,0.211316637129602,0.0870861022797296,0,0.154081705136025,0,0.0302707122334081,0.0989477341175523,0,0,0,0.878,-0.016258144797074,1.08788939308056
GSM1380113,0.161691553267035,0,0.0554590092835076,0.0933653726230841,0,0.0588719613661426,0,0,0.0853337847502812,0,0.0385425774015735,0.0543055800734221,0.18477138373574,0.0322131322297073,0.00440744549411237,0.0781927460382023,0,0,0.152845453737192,0,0,0,0.965,-0.0383976577378127,1.09780781807809
GSM1380114,0,0,0.111145908993354,0.162129048353523,0,0.156519112777434,0,0,0,0,0.0404514462742167,0.102491967352739,0.130483075864776,0,0,0.165285319901706,0,0.0126584211204935,0.118835699361757,0,0,0,0.929,-0.0264036982071057,1.09874336794827
GSM1380115,0.24173890016295,0,0.0845721200883771,0.0815199341819398,0.113488982590165,0,0,0,0.0288931411757482,0,0.0653406967876551,0,0.162111455606708,0.049097837610694,0,0.0653957337962771,0,0,0.0762143215201882,0,0,0.0316268764792975,0.886,-0.0172170965636099,1.1070161661712
GSM1380116,0.208524056371523,0,0.11648468478083,0.0752666386801117,0,0.18070327273385,0,0,0,0,0,0.0758278505305701,0.155369052203205,0.0046873585543432,0,0.0926771070090588,0,0.045811200035411,0.0365448835414794,0,0.00810389555961736,0,0.497,0.0342420751903623,1.08687381258753
GSM1380117,0.267059374536546,0,0.137633165064399,0.10417897142402,0,0.0770294772268324,0,0,0,0,0,0.07014166237442,0.101760374016312,0.0292331585648115,0.000458851367121476,0.0820008574178331,0,0,0.130504108007705,0,0,0,0.096,0.110648141234486,1.06817107694585
GSM1380118,0.165578686067312,0,0.0615131554787357,0.142379335285186,0.0318716175041527,0,0.0148341721058005,0,0.0489589726966584,0,0.0325033066713031,0.0413194528020464,0.23822253293107,0.0089624816355686,0,0.133066478556877,0,0.00100533964659149,0.0797844686186982,0,0,0,0.901,-0.019913775940482,1.09433644069317
